enemy-final-boss,"Demon Lord"
enemy-type-animal, "Animal"
enemy-type-flying, "Flying"
enemy-type-undead, "Undead"
enemy-type-dragon, "Dragon"
enemy-type-demonic, "Demonic"
enemy-type-unknown, "Unknown"
enemy-skill-evasion, "Evasion"
enemy-skill-evasion-desc, "Power type cards get -50% power"
enemy-skill-soft,"Soft Body"
enemy-skill-soft-desc, "Non-magic type cards get -50% power"
enemy-skill-longbow,"Longbow"
enemy-skill-longbow-desc, "Rearmost card gets -100% power"
enemy-skill-incorporeality,"Incorporeal"
enemy-skill-incorporeality-desc, "Non-magic type cards get -100% power"
enemy-skill-pressure,"Intimidation"
enemy-skill-pressure-desc, "All cards get -1 power"
enemy-skill-charm,"Charm"
enemy-skill-charm-desc, "First 3 cards get -100% power"
enemy-skill-magic-barrier,"Magic Barrier"
enemy-skill-magic-barrier-desc, "Magic type cards get -100% power"
enemy-skill-laser,"Laser"
enemy-skill-laser-desc, "Last 3 cards get -100% power"
enemy-skill-side-attack,"Flanking Attack"
enemy-skill-side-attack-desc, "First 5 cards get -50% power"
enemy-skill-wave,"Shockwave"
enemy-skill-wave-desc, "All cards get -2 power"
question-1,"Why am I myself and not you?"
question-2,"Does intelligence truly exist?\nWhat is the difference between reflex and intelligence?"
question-3,"Do consciousnesses other than mine truly exist?\nAre they merely acting as if they have consciousness?"
question-4,"Why do we exist rather than not exist?"
question-5,"When we are not observing ourselves, do we exist?"
question-6,"Where are my beginning and end?\nWhat is the essential difference between one strand of my hair and half of me?"
question-7,"What is a soul?\nDo soul and body exist separately?"
question-8,"Why do we feel time?\nCan we prove that time is not part of us?"
question-9,"When we magnify ourselves infinitely,\nare the particles that compose us one single me?"
question-10,"Do I exist?\nAre the things I see just images to make me believe I exist?"
question-11,"When a part of me separates from me, why do I feel it is no longer me?"
question-12,"When I cease to exist, does the world still exist?"
question-13,"Is it right to ask what I am?\nIs it right to ask what I am?"
question-14,"By questioning what I am,\ncan I prove that I exist?"
question-15,"Are the doubts I harbor truly doubts?"
question-16,"Does a reason for why I am myself exist?\nDo you and I appear different but are actually the same thing?"
question-boss,"When all the matter that composes me is replaced,\ncan it still be called me?\nCan I prove that my consciousness has not been replaced?"
ui-back, "Back"
ui-confirm, "Confirm"
ui-no-changes, "No Changes"
ui-conquer, "Conquer"
ui-need-power, "Need Power"
ui-click-to-win, "Click to Win!"
ui-need-more-power, "Need more power"
ui-history, "History"
ui-no-events, "No events yet."
battle-title, "Battle of {{.location}}"
battle-enemy, "Enemy:"
battle-enemy-type, "{{.type}} type"
battle-enemy-talk, "{{.name}}:\n {{.text}}"
battle-power, "Power:"
battle-card-limit, "Card Limit:"
card-type-battle, "Battle"
card-type-structure, "Structure"
card-class, "Class:"
card-skill-active, "Skill: Active"
card-skill-none, "Skill: None"
card-no-deck, "No card deck"
card-no-cards, "No cards in deck"
territory-structure-effects, "Structure Effects:"
territory-no-structures, "No structure cards placed."
territory-place-cards, "Place cards to get bonuses!"
territory-yield-effect, "Yield Effect:"
territory-boosts-production, "Boosts resource production"
territory-no-yield-effect, "No yield effect"
resource-money, "Money"
resource-food, "Food"
resource-wood, "Wood"
resource-iron, "Iron"
resource-mana, "Mana"
point-wilderness, "Wilderness"
point-boss-point, "Boss Point"
point-boss, "Hell"
point-area, "Area {{.x}},{{.y}}"
point-wild, "Wild {{.x}},{{.y}}"
point-yields, "Yields:"
point-structures, "Structures:"
market-required-level, "Required Level: {{.level}}"
market-card-pack-desc, "Card pack with various cards"
ui-unknown-point, "Unknown Point"
card-str-short, "STR"
info-special-battle-effect, "Special battle"
info-effect-active, "effect active"
info-no-special-effect, "No special effect"
info-card-packs, "Card Packs:"
